PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD3;19;Ylaitalaa-Gulcho;Ылайталаа - Гулчо;Ылайталаа - Гулчо;23;nat
RD3;19;Ylaitalaa-Karaguz-Tushunuk ;Ылайталаа - КарагузТушунук;Ылайталаа - КарагузТушунук;28;loc
RD3;19;Karakulja-Pervoe Maya ;Каракулжа - Первое  мая;Каракулжа - Первое  мая;12;loc
RD3;19;Chalma-Kalinin-Buyga ;Чалма - Калинин - Буйга;Чалма - Калинин - Буйга;20;loc
RD3;19;Ulyanov- Zhivprom ;Ульянов - Живпром;Ульянов - Живпром;6;loc
RD3;19;Karakulja-Akkyya ;Каракулжа - Первое  мая;Каракулжа - Первое  мая;9;loc
RD3;19;Tashkyya-Kirov-Zhiydeli ;Ташкыя - Киров - Жийдели;Ташкыя - Киров - Жийдели;12;loc
RD3;19;Ylaitalaa-Sai ;Ылайталаа - Сай;Ылайталаа - Сай;3;loc
RD3;19;Karakulja-Sarykamysh ;Каракулжа - Сарыкамыш;Каракулжа - Сарыкамыш;3;loc
RD3;19;Zhivprom-Por ;Живпром - Пор;Живпром - Пор;3;loc
RD3;19;Kirov-Zhanytalap;Киров - Жанталап;Киров - Жанталап;3;loc
RD3;19;Alabuka-Zhanybazar-Kirovka;Алабука - Жаныбазар - Кировка;Алабука - Жаныбазар - Кировка;152;nat
RD3;19;Krasnayagorka-Aktash ;Красная Горка - Акташ;Красная Горка - Акташ;17;loc
RD3;19;Podyezd-Tereksai ;Подъезд - Терексай;Подъезд - Терексай;6;loc
RD3;36;Chandalash stow-Kurgantyube ;Урочище Чандалаш - Кургантюбе;Урочище Чандалаш - Кургантюбе;2;loc
RD3;36;Bashkyterek stow;Урочище Башкытерек ;Урочище Башкытерек ;1;loc
RD3;36;Ortoterek stow;Урочище Ортотерек;Урочище Ортотерек;2;loc
RD3;36;Barkyrak stow;Урочище Баркырак;Урочище Баркырак;1;loc
RD3;36;Aygyrzhal road;Трасса Айгыржал;Трасса Айгыржал;12;loc
RD3;36;East Zhany Zher-50 let Kamyshanovka;Восточный Джаны Жер - 50 лет Камышановка;Восточный Джаны Жер - 50 лет Камышановка;13;loc
RD3;36;Belovodskoe-Saharnyi Zavod ;Беловоское - Сахарный Завод;Беловоское - Сахарный Завод;4;nat
RD3;36;Belovodskoe-Tyulek ;Беловодское - Тюлек;Беловодское - Тюлек;45;nat
RD3;36;Petrovka-Neftebaza;Петровка - Нефтебаза;Петровка - Нефтебаза;2,6;nat
RD3;47;Tyulek-Ak Kashat ;Тюлек - Ак Кашат;Тюлек - Ак Кашат;11,3;nat
RD3;47;Belovodsk-Temen Suu ;Беоводское - Темен Суу;Беоводское - Темен Суу;30;nat
RD3;47;Vinsovhoz-Asylbash ;Винсовхоз - Асылбаш;Винсовхоз - Асылбаш;16;loc
RD3;47;Tash Bulak-Boruluu ;Таш Булак - Борулуу;Таш Булак - Борулуу;3;loc
RD3;47;Belovodskoe-Oktyabrskoe ;Беловодское - Октябрьское;Беловодское - Октябрьское;3,8;loc
RD3;47;Belovodsk-Kalinin ;Беловодское - Калинин;Беловодское - Калинин;8,7;loc
RD3;47;Petrovka-Moltavar ;Петровка - Молтавар;Петровка - Молтавар;6,2;loc
RD3;47;Petrovka-Besh Terek ;Петровка - Беш Терек;Петровка - Беш Терек;21,4;loc
