PLUAD_name;DEP_num;Road_num;NameEn;NameRus;NameKg;Length;NumberOfBridge;type;
RD4;7;2;Balykchy-Ananyevo-Karakol l40-156km;Балыкчы - Ааньево - Каракол 140-156 км;Балыкчы - Ааньево - Каракол 140-156 км;116;29;int;
RD4;7;5;Grigoryevka-Pristan';Григорьевка - Пристань;Григорьевка - Пристань;8;0;nat;
RD4;7;17;Cholpon Ata-Zolotaya Gorka;Чолпон Ата - Золотая Горка;Чолпон Ата - Золотая Горка;4;;loc;
RD4;7;18;Turbaza-Ananyevo-Kok Dobo;Турбаза - Ананьево - Кок Добо;Турбаза - Ананьево - Кок Добо;11,8;;loc;
RD4;7;19;Kalinin-Liman;Калинин - Лиман;Калинин - Лиман;14;;loc;
RD4;7;20;Chon Sary Oy-Tegerek;Чон Сары Ой - Тегерек;Чон Сары Ой - Тегерек;10;;loc;
RD4;7;21;Progress-Ak Shybak;Прогресс - Ак Шыбак;Прогресс - Ак Шыбак;9;;loc;
RD4;7;22;Bosteri-Tegerek;Бостери - Тегерек;Бостери - Тегерек;10;;loc;
RD4;7;23;Komsomol M.T.F.;Комсмол МТФ;Комсмол МТФ;12;;loc;
RD4;7;24;Korumdu-Kum Bel;Корумду - Кум Бел;Корумду - Кум Бел;10,5;;loc;
RD4;7;25;Temirovka-Chon Ak Suu;Темировка - Чон Ак Суу;Темировка - Чон Ак Суу;13;;loc;
RD4;7;26;Grigoryevka-Kol-Kashka Suu;Григорьевка - Кол - КашкаСуу;Григорьевка - Кол - КашкаСуу;16;;loc;
RD4;7;27;Semenovka-Ak Suu;Семеновка - Ак Суу ;Семеновка - Ак Суу ;27;;loc;
RD4;7;28;Zharkymbayevo-ABTs-Karal Dobo;Жаркымбаево - АБТ - Кара Добо;Жаркымбаево - АБТ - Кара Добо;6;;loc;
RD4;7;29;Oruktu-Uzun Bulak;Орукту - Узун Булак;Орукту - Узун Булак;9;;loc;
RD4;10;1;Balykchy-Bokonbayevo-Karakol;Балыкчы - Боконбаево - Каракол ;Балыкчы - Боконбаево - Каракол ;56;6;int;
RD4;10;2;Balykchy-Ananyevo-Karakol;Балыкчы - Ананьево - Каракол;Балыкчы - Ананьево - Каракол;40;3;int;
RD4;10;6;Bishkek-Torugart;Бишкек - Торугарт;Бишкек - Торугарт;56;;int;
RD4;10;6;Balykchy-Bokonbayevo-Karakol 16 km Bishkek-Torugart 194 км;Балыкчы - Боконбаево - Каракол 16 км Бишкек - Торугарт 194 км;Балыкчы - Боконбаево - Каракол 16 км Бишкек - Торугарт 194 км;12;0;nat;
RD4;10;7;Semiz Bel-Ottuk ;Семиз Бел - Оттук;Семиз Бел - Оттук;30;0;nat;
RD4;10;8;Bokonbaevo-Don Tala-Ottuk;Боконбаево - Дон Тала - Оттук;Боконбаево - Дон Тала - Оттук;44;;nat;
RD4;10;30;Ala Bash-Sary Bel;Ала Баш - Сары Бел;Ала Баш - Сары Бел;45;;loc;
RD4;10;31;Kara Tala-Tuura Suu;Кара Тала - Туура Суу;Кара Тала - Туура Суу;26;;loc;
RD4;10;32;Ak-Terek-Don Talaa;Ак Терек - Дон Талаа;Ак Терек - Дон Талаа;15;;loc;
RD4;10;33;Sary Kamysh-Chok Tal-Oi Bulak;Сары Камыш - Чок Тал - Ой Булак;Сары Камыш - Чок Тал - Ой Булак;10;;loc;
RD4;10;34;Chyrpykty-Achyk Tash;Чырпыкты - Ачык Таш;Чырпыкты - Ачык Таш;9,5;;loc;
RD4;10;35;Chyrpykty-Kabyrga;Чырпыкты - Кабырга ;Чырпыкты - Кабырга ;16,1;;loc;
RD4;11;5;Karakol-Barskoon through Enilchek v.;Каракол - Барскоон через село Энилчек;Каракол - Барскоон через село Энилчек;136;16;int;
RD4;11;9;Boz-Uchuk-sh.Zhyrgalan;Боз - Учук - Жыргалан;Боз - Учук - Жыргалан;30;4;nat;
RD4;11;10;Karakol-Razdolnoye-Sovetskoye-Syrzavod;Каракол - Раздольное - Советское - Сырзавод;Каракол - Раздольное - Советское - Сырзавод;51;4;nat;
RD4;11;11;Karkyra-Turuk-Sary Zhaz-Ottuk;Каркыра - Турук - Сары Жаз - Оттук;Каркыра - Турук - Сары Жаз - Оттук;76;2;nat;
RD4;11;12;Teploklyuchenka-Ak-Suu resort;Теплоключенка - парк Ак Суу;Теплоключенка - парк Ак Суу;7;4;nat;
RD4;11;36;Karakol c.-Karakol stow ;Каракол - урочище Каракол;Каракол - урочище Каракол;30;;loc;
RD4;11;37;Leskhoz-Arashan stow;Лесхоз - Урочище Арашан;Лесхоз - Урочище Арашан;25;;loc;
RD4;11;38;Gosdoroga-Uch Kaynar v.;Госдорога - село Уч Кайнар;Госдорога - село Уч Кайнар;6;;loc;
RD4;11;39;Ak Bulun-Toktogul;Ак Булун - Токтогул;Ак Булун - Токтогул;8;;loc;
RD4;11;40;Boz Uchuk-Enchilesh;Боз Учук - Энилчек;Боз Учук - Энилчек;4;;loc;
RD4;11;41;Enilchek stow-Kaiyndy stow;урочище Энилчек - урочище Кайынды;урочище Энилчек - урочище Кайынды;45;;loc;
